"SampleDate.SampleEvent","Name.Site","Latitude.Site","Longitude.Site","EcosystemType.Site","Type.OrganismStoichiometry","TaxonomicKingdom.OrganismStoichiometry","order","family","genus","invertebrateLifeStage","OrganismSizeNotes.OrganismStoichiometry","C","CarbonUnits.OrganismStoichiometry","N","NitrogenUnits.OrganismStoichiometry","P","PhosphorusUnits.OrganismStoichiometry","CN","CP","NP","siteID"
2022-11-21,"rio cupeyes neon",18.110265,-66.986411,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Neoelmis","adult",,49.8,"percent_dm",11.3,"percent_dm",,,5.14159292,,,"CUPE"
2022-11-16,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Neoelmis","adult",,51.4,"percent_dm",10.4,"percent_dm",,,5.76602564,,,"GUIL"
2022-11-16,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Diptera","Chironomidae",,"larva",,45.3,"percent_dm",8.8,"percent_dm",0.3,"percent_dm",6.00568182,390.08333333,64.95238095,"GUIL"
2022-11-16,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Odonata","Libellulidae",,"larva",,50.1,"percent_dm",9.6,"percent_dm",,,6.08854167,,,"GUIL"
2022-11-16,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Lepidoptera","Crambidae","Petrophila","larva",,52.8,"percent_dm",8.6,"percent_dm",,,7.1627907,,,"GUIL"
2022-11-16,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Ephemeroptera","Leptophlebiidae","Neohagenulus","larva",,47.3,"percent_dm",6.4,"percent_dm",,,8.62239583,,,"GUIL"
2022-10-26,"mayfield creek neon",32.961588,-87.408223,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Stenelmis","larva",,49.7,"percent_dm",12.8,"percent_dm",,,4.52994792,,,"MAYF"
2022-10-26,"mayfield creek neon",32.961588,-87.408223,"Stream","Insecta","Animalia","Ephemeroptera","Heptageniidae",,"larva",,45.6,"percent_dm",8.8,"percent_dm",,,6.04545455,,,"MAYF"
2022-10-25,"walker branch neon",35.956053,-84.278692,"Stream","Insecta","Animalia","Diptera","Limoniidae","Hexatoma","larva",,48.9,"percent_dm",12.1,"percent_dm",,,4.71487603,,,"WALK"
2022-10-25,"walker branch neon",35.956053,-84.278692,"Stream","Insecta","Animalia","Coleoptera","Ptilodactylidae","Anchytarsus","larva",,39.4,"percent_dm",9.7,"percent_dm",0.19,"percent_dm",4.73883162,535.70175439,113.04511278,"WALK"
2022-10-25,"walker branch neon",35.956053,-84.278692,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Oulimnius","adult",,50.5,"percent_dm",10.5,"percent_dm",0.11,"percent_dm",5.61111111,1185.98484848,211.36363636,"WALK"
2022-10-18,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Diptera","Limoniidae","Cryptolabis","larva",,43.5,"percent_dm",11.3,"percent_dm",,,4.49115044,,,"LECO"
2022-10-18,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Diptera",,,"pupa",,44.8,"percent_dm",9.9,"percent_dm",,,5.27946128,,,"LECO"
2022-10-18,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Plecoptera","Perlodidae",,"larva",,52.2,"percent_dm",11.5,"percent_dm",,,5.29565217,,,"LECO"
2022-10-18,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Optioservus","adult",,52.3,"percent_dm",9.9,"percent_dm",,,6.16329966,,,"LECO"
2022-10-18,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Ephemeroptera","Heptageniidae","Leucrocuta","larva",,53.8,"percent_dm",7.5,"percent_dm",0.67,"percent_dm",8.36888889,207.43781095,24.78678038,"LECO"
2022-10-17,"posey creek neon",38.89431,-78.147258,"Stream","Insecta","Animalia","Plecoptera","Perlidae","Acroneuria","larva",,47.3,"percent_dm",13,"percent_dm",,,4.24487179,,,"POSE"
2022-10-17,"posey creek neon",38.89431,-78.147258,"Stream","Insecta","Animalia","Ephemeroptera","Heptageniidae","Stenonema","larva",,42.2,"percent_dm",9.4,"percent_dm",0.5,"percent_dm",5.23758865,218.03333333,41.62857143,"POSE"
2022-10-17,"posey creek neon",38.89431,-78.147258,"Stream","Insecta","Animalia","Plecoptera","Peltoperlidae","Tallaperla","larva",,50.6,"percent_dm",8.2,"percent_dm",,,7.19918699,,,"POSE"
2022-10-12,"blue river neon",34.448448,-96.622796,"River","Insecta","Animalia","Coleoptera","Elmidae","Dubiraphia","larva",,43.8,"percent_dm",8.9,"percent_dm",,,5.74157303,,,"BLUE"
2022-10-12,"blue river neon",34.448448,-96.622796,"River","Insecta","Animalia","Coleoptera","Elmidae","Neoelmis","larva","average of all individuals",51.8,"percent_dm",9.9,"percent_dm",0.12,"percent_dm",6.1043771,1115.13888889,182.67857143,"BLUE"
2022-10-05,"flint river neon",31.184609,-84.438438,"River","Insecta","Animalia","Ephemeroptera","Caenidae","Caenis","larva",,52.1,"percent_dm",9.7,"percent_dm",,,6.26632302,,,"FLNT"
2022-10-03,"martha creek neon",45.79233,-121.929416,"Stream","Insecta","Animalia","Plecoptera","Perlidae","Calineuria","larva","average of all individuals",50,"percent_dm",12.3,"percent_dm",0.32,"percent_dm",4.74254743,403.64583333,85.11160714,"MART"
