"siteID","SampleDate.SampleEvent","Name.Site","Latitude.Site","Longitude.Site","EcosystemType.Site","Type.OrganismStoichiometry","CarbonMean.OrganismStoichiometry","CarbonUnits.OrganismStoichiometry","NitrogenMean.OrganismStoichiometry","NitrogenUnits.OrganismStoichiometry","PhosphorusMean.OrganismStoichiometry","PhosphorusUnits.OrganismStoichiometry","CarbonToNitrogenRatio.OrganismStoichiometry","CarbonToPhosphorusRatio.OrganismStoichiometry","NitrogenToPhosphorusRatio.OrganismStoichiometry"
"TOMB",2019-11-25,"lower tombigbee river neon",31.849571,-88.161916,"River","Periphyton",453.05325229,"ugC_cm2",68.60899834,"ugN_cm2",10.10136118,"ugP_cm2",7.7007971,115.66328504,15.01965102
"TOMB",2019-11-25,"lower tombigbee river neon",31.853668,-88.159787,"River","Periphyton",615.88159809,"ugC_cm2",82.83161887,"ugN_cm2",9.46747714,"ugP_cm2",8.67098802,167.76027647,19.34730807
"TOMB",2019-11-25,"lower tombigbee river neon",31.85709,-88.156374,"River","Periphyton",481.19472153,"ugC_cm2",44.25909185,"ugN_cm2",10.20428096,"ugP_cm2",12.67902516,121.60869194,9.59132823
"TOMB",2019-11-25,"lower tombigbee river neon",31.854416,-88.156161,"River","Periphyton",460.31125312,"ugC_cm2",64.6626143,"ugN_cm2",16.76085827,"ugP_cm2",8.30167716,70.82417246,8.53130892
"TOMB",2019-11-25,"lower tombigbee river neon",31.850973,-88.158592,"River","Periphyton",574.13492311,"ugC_cm2",53.78299044,"ugN_cm2",12.27067747,"ugP_cm2",12.44905902,120.66229848,9.69248345
"MAYF",2019-11-14,"mayfield creek neon",32.960365,-87.407688,"Stream","Periphyton",367.05194931,"ugC_cm2",22.83579067,"ugN_cm2",10.82530313,"ugP_cm2",18.74472136,87.44070264,4.66481741
"MAYF",2019-11-14,"mayfield creek neon",32.960365,-87.407688,"Stream","Periphyton",305.05456383,"ugC_cm2",24.86079067,"ugN_cm2",2.09115022,"ugP_cm2",14.30968578,376.19971772,26.28986572
"MAYF",2019-11-14,"mayfield creek neon",32.960365,-87.407688,"Stream","Periphyton",318.56471034,"ugC_cm2",21.01673543,"ugN_cm2",3.74214803,"ugP_cm2",17.67664803,219.53454646,12.41946698
"MAYF",2019-11-14,"mayfield creek neon",32.960365,-87.407688,"Stream","Periphyton",548.97817955,"ugC_cm2",38.58676226,"ugN_cm2",2.22438695,"ugP_cm2",16.5914465,636.45970723,38.36071239
"MAYF",2019-11-14,"mayfield creek neon",32.960365,-87.407688,"Stream","Periphyton",569.91017249,"ugC_cm2",50.67892768,"ugN_cm2",3.00041563,"ugP_cm2",13.11434182,489.8365193,37.35120877
