"siteID","SampleDate.SampleEvent","Name.Site","Latitude.Site","Longitude.Site","EcosystemType.Site","Type.OrganismStoichiometry","CarbonMean.OrganismStoichiometry","CarbonUnits.OrganismStoichiometry","NitrogenMean.OrganismStoichiometry","NitrogenUnits.OrganismStoichiometry","PhosphorusMean.OrganismStoichiometry","PhosphorusUnits.OrganismStoichiometry","CarbonToNitrogenRatio.OrganismStoichiometry","CarbonToPhosphorusRatio.OrganismStoichiometry","NitrogenToPhosphorusRatio.OrganismStoichiometry"
"TOMB",2019-11-25,"lower tombigbee river neon",31.85382,-88.1573,"River","Seston",937.39,"ugC_L",243.78,"ugN_L",36.18,"ugP_L",4.48424932,66.81560789,14.90006535
"TOMB",2019-11-25,"lower tombigbee river neon",31.853431,-88.158872,"River","Seston",1043.21,"ugC_L",254.36,"ugN_L",37.54,"ugP_L",4.78289044,71.66442877,14.98349789
"TOMB",2019-11-25,"lower tombigbee river neon",31.853431,-88.158872,"River","Seston",919.47,"ugC_L",272.67,"ugN_L",37,"ugP_L",3.93249078,64.08582952,16.29649835
"BLWA",2019-10-28,"black warrior river neon",32.54067,-87.79806,"River","Seston",1091.53,"ugC_L",288.61,"ugN_L",39.24,"ugP_L",4.41054045,71.73528832,16.26451206
"BLWA",2019-10-28,"black warrior river neon",32.54076,-87.79831,"River","Seston",1046.22,"ugC_L",312.61,"ugN_L",36.22,"ugP_L",3.90290211,74.49047477,19.08591931
"BLWA",2019-10-28,"black warrior river neon",32.54076,-87.79831,"River","Seston",977.02,"ugC_L",314.34,"ugN_L",43.12,"ugP_L",3.6246937,58.43201623,16.12053903
"FLNT",2019-10-15,"flint river neon",31.184609,-84.438438,"River","Seston",294.78,"ugC_L",62.95,"ugN_L",11.92,"ugP_L",5.46096996,63.77462733,11.67826005
"FLNT",2019-10-15,"flint river neon",31.185424,-84.437403,"River","Seston",295.07,"ugC_L",54.06,"ugN_L",9.59,"ugP_L",6.3652655,79.34738523,12.46568353
"FLNT",2019-10-15,"flint river neon",31.185424,-84.437403,"River","Seston",324.73,"ugC_L",61.49,"ugN_L",7.48,"ugP_L",6.15864863,111.95589986,18.17864707
"FLNT",2019-07-23,"flint river neon",31.184609,-84.438438,"River","Seston",394.55,"ugC_L",61.16,"ugN_L",13.96,"ugP_L",7.52319084,72.88577898,9.68814703
"FLNT",2019-07-23,"flint river neon",31.185424,-84.437403,"River","Seston",392.83,"ugC_L",61,"ugN_L",12.93,"ugP_L",7.5100412,78.34878977,10.43253795
"FLNT",2019-07-23,"flint river neon",31.185424,-84.437403,"River","Seston",364.21,"ugC_L",53.09,"ugN_L",12.6,"ugP_L",8.00030691,74.54310712,9.31753093
"TOMB",2019-07-09,"lower tombigbee river neon",31.85382,-88.1573,"River","Seston",788.15,"ugC_L",150.83,"ugN_L",28.28,"ugP_L",6.09380645,71.87132395,11.79415928
"TOMB",2019-07-09,"lower tombigbee river neon",31.853431,-88.158872,"River","Seston",855.1,"ugC_L",169.79,"ugN_L",30.48,"ugP_L",5.8731664,72.34826391,12.31844272
"TOMB",2019-07-09,"lower tombigbee river neon",31.853431,-88.158872,"River","Seston",905.77,"ugC_L",175.63,"ugN_L",29.98,"ugP_L",6.01432286,77.91345697,12.95465154
"BLWA",2019-06-25,"black warrior river neon",32.54067,-87.79806,"River","Seston",1303.41,"ugC_L",238.75,"ugN_L",25.07,"ugP_L",6.36656498,134.07656812,21.05948319
"BLWA",2019-06-25,"black warrior river neon",32.54076,-87.79831,"River","Seston",1081.74,"ugC_L",202.1,"ugN_L",19.72,"ugP_L",6.24200458,141.46276708,22.66303481
"BLWA",2019-06-25,"black warrior river neon",32.54076,-87.79831,"River","Seston",898.24,"ugC_L",169.39,"ugN_L",22.11,"ugP_L",6.18403773,104.76828112,16.94172735
"TOMB",2019-04-09,"lower tombigbee river neon",31.853431,-88.158872,"River","Seston",1591.37,"ugC_L",226.62,"ugN_L",49.76,"ugP_L",8.18918041,82.47398231,10.07109114
"TOMB",2019-04-09,"lower tombigbee river neon",31.853431,-88.158872,"River","Seston",1767.93,"ugC_L",247.52,"ugN_L",45.52,"ugP_L",8.32956414,100.15876996,12.02449112
"TOMB",2019-04-09,"lower tombigbee river neon",31.85382,-88.1573,"River","Seston",1545.45,"ugC_L",227.83,"ugN_L",19.57,"ugP_L",7.91063882,203.65276156,25.74416127
