"order","family","invertebrateLifeStage","mean_CN","mean_CP","mean_NP","min_CN","min_CP","min_NP","max_CN","max_CP","max_NP"
"Coleoptera","Dryopidae","adult",5.37106918,434.71264368,80.93596059,5.37106918,434.71264368,80.93596059,5.37106918,434.71264368,80.93596059
"Coleoptera","Elmidae","adult",5.99859705733333,613.158377358,102.868902531333,5.32424242,262.07729469,47.88926277,7.3744856,1185.98484848,211.36363636
"Coleoptera","Elmidae","larva",6.19558080136364,442.070271729545,70.6632357286364,5.20093458,220.75757576,31.10979929,8.26255708,1115.13888889,182.67857143
"Coleoptera","Haliplidae","adult",7.01310861,674.18699187,96.13240418,7.01310861,674.18699187,96.13240418,7.01310861,674.18699187,96.13240418
"Coleoptera","Psephenidae","larva",5.67595491833333,324.303704441667,56.6840822766667,4.81683168,215.45,44.72857143,7.46666667,456.09195402,73.30049261
"Coleoptera","Ptilodactylidae","larva",4.73883162,535.70175439,113.04511278,4.73883162,535.70175439,113.04511278,4.73883162,535.70175439,113.04511278
"Diptera","Blephariceridae","larva",7.0917603,291.16319444,41.05654762,7.0917603,291.16319444,41.05654762,7.0917603,291.16319444,41.05654762
"Diptera","Chironomidae","larva",5.88648144,251.8991376284,42.6317123848,5.06552707,119.3030303,23.55194805,6.52604167,412.5260417,64.95238095
"Diptera","Limoniidae","larva",5.95686275,339.74747475,57.03463203,5.95686275,339.74747475,57.03463203,5.95686275,339.74747475,57.03463203
"Diptera","Pediciidae","larva",6.41025641,178.65375749,27.86998617,6.41025641,178.65375749,27.86998617,6.41025641,178.65375749,27.86998617
"Diptera","Ptychopteridae","larva",6.19230769,118.83333333,19.19047619,6.19230769,118.83333333,19.19047619,6.19230769,118.83333333,19.19047619
"Diptera","Simuliidae","larva",6.13650428333333,183.225151966667,29.6298778566667,5.20411985,112.7014652,21.65620094,7.25301205,231.89706762,38.95870736
"Diptera","Tipulidae","larva",4.991255795,191.5357143,38.957589285,4.62536873,166.0714286,31,5.35714286,217,46.91517857
"Ephemeroptera","Baetidae","larva",8.18021491857143,275.195578225,34.1926381035714,5.32561728,175.50890585,18.93129771,12.30952381,590.79710145,55.76719577
"Ephemeroptera","Caenidae","larva",5.780254775,271.880689635,48.647093595,5.33333333,173.18666667,27.81142857,6.22717622,370.5747126,69.48275862
"Ephemeroptera","Ephemerellidae","larva",6.87773784875,321.771474425,48.2976036325,5.07473842,161.21308017,21.02169982,8.30597015,473.94230769,83.69249395
"Ephemeroptera","Ephemeridae","larva",5.13541667,265.32986111,51.66666667,5.13541667,265.32986111,51.66666667,5.13541667,265.32986111,51.66666667
"Ephemeroptera","Heptageniidae","larva",7.60939679047619,313.70576002,42.0833106733333,4.84895833,139.29054054,19.88338192,13.54176072,621.1742424,73.47402597
"Ephemeroptera","Isonychiidae","larva",6.56737589,177.19753086,26.98148148,6.56737589,177.19753086,26.98148148,6.56737589,177.19753086,26.98148148
"Ephemeroptera","Leptophlebiidae","larva",7.811062195,355.128064418333,47.790440735,6.43589744,268.22695035,27.41496599,10.90384615,518.73333333,80.6
"Hemiptera","Corixidae","adult",4.86076509,268.17672414,54.796122195,4.57997365,221.18678161,48.29433498,5.14155653,315.16666667,61.29790941
