"siteID","order","family","genus","invertebrateLifeStage","lowest_id","mean_biomass_mg_m2","sd_biomass_mg_m2"
"BIGC","Coleoptera","Elmidae","Ampumixis","larva","Ampumixis",0.420074673171587,0.673311993088173
"BIGC","Coleoptera","Elmidae","Cleptelmis","adult","Cleptelmis",0.40140014941417,0.781773337509938
"BIGC","Coleoptera","Elmidae","Cleptelmis","larva","Cleptelmis",0.493884883087731,0.845561816620577
"BIGC","Coleoptera","Elmidae","Optioservus","adult","Optioservus",0.127551559204155,0.209687393621034
"BIGC","Coleoptera","Elmidae","Optioservus","larva","Optioservus",0.381697495948062,0.521054438613263
"BIGC","Coleoptera","Elmidae","Zaitzevia","adult","Zaitzevia",0.0625045694597098,0.0773746841765457
"BIGC","Coleoptera","Elmidae","Zaitzevia","larva","Zaitzevia",0.0980263378622067,0.126927770720649
"BIGC","Coleoptera","Elmidae",,"adult","Elmidae",0.0156261423649274,
"BIGC","Coleoptera","Elmidae",,"larva","Elmidae",0.123548003593165,0.1854333035675
"BIGC","Coleoptera","Hydraenidae","Hydraena","adult","Hydraena",0.156608671257384,0.209067862011184
"BIGC","Coleoptera","Psephenidae","Eubrianax","larva","Eubrianax",0.8352802651451,1.18279864836348
"BIGC","Coleoptera","Psephenidae","Psephenus","larva","Psephenus",0.407968778496306,0.105017617969057
"BIGC","Coleoptera","Psephenidae",,"larva","Psephenidae",0.201929242467239,0.344350481375261
"BIGC","Coleoptera","Scirtidae",,"larva","Scirtidae",1.5287434851663,
"BIGC","Decapoda","Astacidae","Pacifastacus","none","Pacifastacus",114.600094983859,
"BIGC","Diptera","Athericidae","Atherix","larva","Atherix",0.0259862843425594,
"BIGC","Diptera","Ceratopogonidae","Atrichopogon","larva","Atrichopogon",0.002475,0.00159099025766973
"BIGC","Diptera","Ceratopogonidae","Bezzia/Palpomyia","larva","Bezzia/Palpomyia",0.194554116945608,0.191025434775702
"BIGC","Diptera","Ceratopogonidae","Dasyhelea","larva","Dasyhelea",0.012278202992796,0.0170539208720451
