"siteID","mean_C_ug_cm2","mean_N_ug_cm2","mean_P_ug_cm2","mean_CN","mean_CP","mean_NP","min_CN","min_CP","min_NP","max_CN","max_CP","max_NP"
"ARIK",991.776666666667,109.553333333333,20.8233333333333,10.4563495333333,125.040927416667,11.9255172433333,10.07523831,102.05987826,10.12977313,11.19102781,143.54891415,12.82714301
"BLUE",247.856666666667,37.47,1.01666666666667,7.42728045666667,841.504028783333,122.60181685,6.17392139,373.66422867,47.26533072,8.20224741,1455.87834181,235.8109619
"BLWA",925.091428571429,183.684761904762,23.622380952381,6.55498359285714,107.18959241,17.5110401066667,3.6246937,58.43201623,9.46758268,9.16769738,202.74300879,49.75035347
"CARI",511,34.9933333333333,40.84,16.9342606766667,1161.23719515333,70.1223665666667,16.13012507,15.0451498,0.83132805,18.09772899,3310.05383533,199.70245668
"COMO",419.54,34.365,1.645,13.83687959,1438.31550454,95.41535352,12.25471152,254.81499235,20.79322651,15.41904766,2621.81601673,170.03748053
"CUPE",61.6525,8.7075,0.78,9.98039304,421.7063496025,40.31481526,5.54398411,76.41681944,13.7837371,19.42485519,730.78176751,79.97737511
"FLNT",424.942857142857,60.6695238095238,8.16722222222222,8.2368314547619,453.145708765556,56.1092282588889,4.50689408,63.77462733,9.31753093,10.99660108,2487.58544196,235.11586695
"GUIL",136.786666666667,24.0966666666667,3.29,6.48078654,155.570972026667,23.7921320166667,5.33767111,67.38648546,10.0534424,7.44077336,324.52104416,48.69825572
"HOPB",307.786666666667,25.78,3.03666666666667,14.15849083,891.56435139,52.95886708,11.95327658,157.35456508,13.16413655,17.78818246,2329.32931199,130.94813467
"KING",147.01,15.66,2,10.960308455,211.831111555,19.168890405,10.65163469,144.33806998,13.55079049,11.26898222,279.32415313,24.78699032
"LECO",1033.97666666667,62.9466666666667,186.083333333333,17.73039612,3614.5429305,214.304073266667,16.31367637,11.28655268,0.56449237,19.99416349,10470.41967024,620.16250318
"LEWI",2016.19,170.425,19.35,12.17539665,207.93703146,16.255234775,10.14445479,114.83559986,11.32003664,14.20633851,301.03846306,21.19043291
"MAYF",1525.75,110.583333333333,3.46666666666667,15.9108534566667,2258.00178916,198.50268451,9.91157389,756.3478567,36.65204935,20.63589541,4887.07344187,493.06734676
"MCDI",298.51,36.5775,28.515,9.80331532,33.6728042,3.661560635,8.78429059,16.02168306,1.48042688,10.82234005,51.32392534,5.84269439
"MCRA",125.325,6.89,0.52,20.030633105,586.44225002,29.26207532,16.98153497,495.21988987,29.16225717,23.07973124,677.66461017,29.36189347
"OKSR",188.635,15.38,0.16,14.41202501,4142.224929645,299.17803801,13.43330655,1938.54343002,125.95515182,15.39074347,6345.90642927,472.4009242
"POSE",2910.88666666667,161.786666666667,30.3433333333333,18.15736654,215.931497906667,11.6961985566667,14.39289486,147.25106033,9.76352827,24.99745805,320.68404438,12.82866617
"PRIN",498.446666666667,82.92,4.02666666666667,8.66535943333333,315.27183734,40.1433987133333,5.63732147,189.92932244,18.03845241,10.52913621,418.92723455,59.77288276
"REDB",966.39,45.78,9.42,24.61751133,264.56214,10.74690843,24.61751133,264.56214,10.74690843,24.61751133,264.56214,10.74690843
"SYCA",129.37,10.5,14.26,14.36851172,23.39592513,1.62827756,14.36851172,23.39592513,1.62827756,14.36851172,23.39592513,1.62827756
"TOMB",1216.98391304348,196.149565217391,31.3817391304348,7.19406965478261,160.361329434783,21.1104416152174,3.93249078,64.08582952,8.53270697,9.89334752,1256.71644733,139.44729747
"WALK",355.79,22.5566666666667,1.23333333333333,18.77138325,20529.38701305,1109.93093027333,14.78245856,447.30260785,19.45486857,22.99180826,60226.47515965,3248.48195506
"WLOU",152.376666666667,9.89,0.636666666666667,16.9395258966667,22972.82580512,1168.09375752,13.83963977,221.66315852,12.84899006,19.7275308,68272.48879749,3460.77213048
