"order","family","genus","invertebrateLifeStage","mean_CN","mean_CP","mean_NP","min_CN","min_CP","min_NP","max_CN","max_CP","max_NP"
"Coleoptera","Dryopidae","Helichus","adult",5.37106918,434.71264368,80.93596059,5.37106918,434.71264368,80.93596059,5.37106918,434.71264368,80.93596059
"Coleoptera","Elmidae","Cleptelmis","larva",6.83572984666667,368.164141413333,52.7544929833333,5.4,220.75757576,31.10979929,8.01111111,604.73484848,75.48701299
"Coleoptera","Elmidae","Dubiraphia","larva",5.20093458,241.61764706,46.45658263,5.20093458,241.61764706,46.45658263,5.20093458,241.61764706,46.45658263
"Coleoptera","Elmidae","Heterlimnius","adult",6.56592366,757.951155855,116.65248482,6.41025641,439.51342282,65.38830297,6.72159091,1076.38888889,167.91666667
"Coleoptera","Elmidae","Heterlimnius","larva",5.77197200833333,370.952998593333,64.0603555766667,5.27083333,282.40530303,50.32467532,6.23518519,460.21604938,73.80952381
"Coleoptera","Elmidae","Hexacylloepus","adult",5.52562028,338.62793306,61.09290554,5.44444444,262.07729469,48.13664596,5.60679612,415.17857143,74.04916512
"Coleoptera","Elmidae","Hexacylloepus","larva",6.12008427,463.57813882,76.56025009,5.54166667,455.20114943,67.95566502,6.69850187,471.95512821,85.16483516
"Coleoptera","Elmidae","Lara","larva",6.22619048,587.4275362,94.34782609,6.22619048,587.4275362,94.34782609,6.22619048,587.4275362,94.34782609
"Coleoptera","Elmidae","Macronychus","larva",5.86731392,318.61111111,54.30272109,5.86731392,318.61111111,54.30272109,5.86731392,318.61111111,54.30272109
"Coleoptera","Elmidae","Narpus","larva",6.378353375,357.909090925,56.133580705,6.31521739,348.24675325,54.06307978,6.44148936,367.5714286,58.20408163
"Coleoptera","Elmidae","Neoelmis","adult",5.59786867666667,358.63218446,64.0654481933333,5.32424242,272.1627409,47.88926277,5.78619529,443.502331,76.64835165
"Coleoptera","Elmidae","Neoelmis","larva",6.18164422,635.429925233333,103.226488563333,5.92666667,364.53703704,61.50793651,6.51388889,1115.13888889,182.67857143
"Coleoptera","Elmidae","Optioservus","adult",6.67378152,701.468599036667,112.596963423333,5.4591195,461.55555556,64.21428571,7.3744856,1067.77777778,195.5952381
"Coleoptera","Elmidae","Optioservus","larva",7.18024761,637.804738565,85.467086835,6.09793814,385.22058824,63.17226891,8.26255708,890.38888889,107.76190476
"Coleoptera","Elmidae","Oulimnius","adult",5.82936508,1079.041806955,186.05218855,5.61111111,972.09876543,160.74074074,6.04761905,1185.98484848,211.36363636
"Coleoptera","Elmidae","Phanocerus","adult",5.44444444,332.34234234,61.04247104,5.44444444,332.34234234,61.04247104,5.44444444,332.34234234,61.04247104
"Coleoptera","Elmidae","Stenelmis","adult",5.54984424,617.33176839,111.23407109,5.54984424,617.33176839,111.23407109,5.54984424,617.33176839,111.23407109
"Coleoptera","Elmidae","Zaitzevia","adult",6.32789855,716.15740741,113.17460317,6.32789855,716.15740741,113.17460317,6.32789855,716.15740741,113.17460317
"Coleoptera","Elmidae","Zaitzevia","larva",5.96701389,422.80555556,70.85714286,5.96701389,422.80555556,70.85714286,5.96701389,422.80555556,70.85714286
"Coleoptera","Haliplidae","Peltodytes","adult",7.01310861,674.18699187,96.13240418,7.01310861,674.18699187,96.13240418,7.01310861,674.18699187,96.13240418
"Coleoptera","Psephenidae","Ectopria","larva",4.81683168,215.45,44.72857143,4.81683168,215.45,44.72857143,4.81683168,215.45,44.72857143
"Coleoptera","Psephenidae","Eubrianax","larva",7.46666667,456.09195402,61.08374384,7.46666667,456.09195402,61.08374384,7.46666667,456.09195402,61.08374384
"Coleoptera","Psephenidae","Psephenus","larva",5.44305779,318.5700681575,58.5730445975,5.11716172,253.48958333,46.13095238,5.62673611,412.4425287,73.30049261
"Coleoptera","Ptilodactylidae","Anchytarsus","larva",4.73883162,535.70175439,113.04511278,4.73883162,535.70175439,113.04511278,4.73883162,535.70175439,113.04511278
"Diptera","Blephariceridae","Paltostoma","larva",7.0917603,291.16319444,41.05654762,7.0917603,291.16319444,41.05654762,7.0917603,291.16319444,41.05654762
"Diptera","Chironomidae","Cricotopus","larva",6.40175926,226.065452413333,35.3679249466667,6.32333333,192.67361111,29.52380952,6.52604167,250.20061728,39.36507937
"Diptera","Chironomidae","Parakiefferiella","larva",6.44953052,307.26010101,47.64069264,6.44953052,307.26010101,47.64069264,6.44953052,307.26010101,47.64069264
"Diptera","Chironomidae","Polypedilum","larva",5.4591195,173.15315315,31.71814672,5.4591195,173.15315315,31.71814672,5.4591195,173.15315315,31.71814672
"Diptera","Limoniidae","Hexatoma","larva",5.95686275,339.74747475,57.03463203,5.95686275,339.74747475,57.03463203,5.95686275,339.74747475,57.03463203
"Diptera","Pediciidae","Dicranota","larva",6.41025641,178.65375749,27.86998617,6.41025641,178.65375749,27.86998617,6.41025641,178.65375749,27.86998617
"Diptera","Ptychopteridae","Ptychoptera","larva",6.19230769,118.83333333,19.19047619,6.19230769,118.83333333,19.19047619,6.19230769,118.83333333,19.19047619
"Diptera","Simuliidae","Helodon","larva",7.25301205,205.07692308,28.27472527,7.25301205,205.07692308,28.27472527,7.25301205,205.07692308,28.27472527
"Diptera","Simuliidae","Prosimulium","larva",5.95238095,231.89706762,38.95870736,5.95238095,231.89706762,38.95870736,5.95238095,231.89706762,38.95870736
"Diptera","Simuliidae","Simulium","larva",5.20411985,112.7014652,21.65620094,5.20411985,112.7014652,21.65620094,5.20411985,112.7014652,21.65620094
"Diptera","Tipulidae","Tipula","larva",4.991255795,191.5357143,38.957589285,4.62536873,166.0714286,31,5.35714286,217,46.91517857
